user,year,camera,longitude,latitude,url
70122636@N00,2011,NA,-122.389382,37.778353,http://farm7.staticflickr.com/6004/6010327055_78014ee243.jpg
27183443@N00,2008,NIKON,-122.40603,37.802879,http://farm4.staticflickr.com/3277/2608681869_4e1a9351c9.jpg
79053562@N00,2008,LEICA,-122.393333,37.792499,http://farm3.staticflickr.com/2350/2529144969_ba389cd365.jpg
47448228@N07,2012,NIKON,-122.461252,37.804901,http://farm9.staticflickr.com/8455/8073496068_5b170cd224.jpg
9751269@N07,2012,APPLE,-122.301833,37.5455,http://farm9.staticflickr.com/8063/8198243039_cb9be991a9.jpg
10011817@N00,2007,FUJIFILM,-122.434371,37.763206,http://farm1.staticflickr.com/183/485557804_6b067969d4.jpg
88781298@N00,2006,CANON,-122.388725,37.781993,http://farm1.staticflickr.com/84/228036056_49c51269b9.jpg
38331851@N00,2013,CANON,-122.422306,37.805969,http://farm9.staticflickr.com/8249/8648255597_8c24dd06fe.jpg
8523884@N04,2010,NIKON,-122.403423,37.787521,http://farm2.staticflickr.com/1317/5145220158_c62398c88f.jpg
35034345586@N01,2013,APPLE,-122.406923,37.750911,http://farm6.staticflickr.com/5463/10236580284_59d07da56e.jpg
42151838@N03,2011,NA,-122.411888,37.589759,http://farm7.staticflickr.com/6124/5977060116_69a1011328.jpg
11600428@N05,2011,NA,-122.425514,37.774882,http://farm7.staticflickr.com/6161/6157380256_6af229f418.jpg
27403767@N00,2007,CANON,-122.418894,37.802074,http://farm1.staticflickr.com/238/451969404_e202da865a.jpg
45013875@N00,2010,CANON,-122.465098,37.771306,http://farm5.staticflickr.com/4052/4668928101_1ffd79e8b7.jpg
44124284226@N01,2011,SAMSUNG,-122.276667,37.845555,http://farm7.staticflickr.com/6056/6262605574_36edfb1905.jpg
35772808@N06,2012,NA,-122.401835,37.783909,http://farm9.staticflickr.com/8069/8288311846_521406edb3.jpg
79172203@N00,2012,CANON,-122.422875,37.826768,http://farm7.staticflickr.com/6222/6870486514_c8e12d1a0a.jpg
68590302@N05,2012,APPLE,-122.459,37.875333,http://farm8.staticflickr.com/7240/7219004730_4495a8d505.jpg
82847947@N00,2013,CANON,-122.417869,37.757972,http://farm3.staticflickr.com/2877/9379955254_e2c80ccb09.jpg
35468139015@N01,2008,CANON,-122.424201,37.771179,http://farm4.staticflickr.com/3278/2832905317_db4d1b5271.jpg
78044786@N00,2011,CANON,-122.398901,37.791583,http://farm6.staticflickr.com/5068/5570120713_b7069ebf59.jpg
80672516@N00,2011,CANON,-122.408895,37.762233,http://farm7.staticflickr.com/6110/6259483276_fbfcf3d683.jpg
90253786@N03,2013,NA,-122.300167,37.8065,http://farm9.staticflickr.com/8367/8397120344_d290cfddcf.jpg
87961435@N00,2006,SONY,-122.389411,37.776142,http://farm1.staticflickr.com/54/135747098_b62ed86535.jpg
33917831@N00,2009,CANON,-122.40742,37.699852,http://farm4.staticflickr.com/3412/3479351150_1c92c7edc7.jpg
95394384@N00,2011,LEICA,-122.274945,37.802782,http://farm6.staticflickr.com/5108/5682314589_b25160e47f.jpg
64612861@N00,2007,PANASONIC,-122.395561,37.779109,http://farm1.staticflickr.com/169/442463429_e498b87d1e.jpg
81851947@N00,2013,APPLE,-122.427,37.7615,http://farm4.staticflickr.com/3740/10360761094_73e2ca40bb.jpg
89854093@N00,2007,CANON,-122.47168,37.756524,http://farm1.staticflickr.com/204/490809981_e88b8c4762.jpg
18578905@N02,2013,CANON,-122.401868,37.785787,http://farm8.staticflickr.com/7429/11422239895_de9ed8128a.jpg
25007843@N00,2008,CANON,-122.423333,37.803166,http://farm4.staticflickr.com/3160/3046489051_7461a53200.jpg
46327697@N00,2007,PANASONIC,-122.495648,37.766075,http://farm2.staticflickr.com/1230/771437164_4a3c8f2a3e.jpg
44799907@N00,2009,OLYMPUS,-122.448416,37.802979,http://farm3.staticflickr.com/2455/3837842015_815fa19823.jpg
14687375@N00,2011,NA,-122.478976,37.821582,http://farm7.staticflickr.com/6129/5945733687_d0d87b07d5.jpg
42445822@N00,2008,NIKON,-122.421813,37.762606,http://farm4.staticflickr.com/3093/2672717055_25db67ce3c.jpg
17593639@N08,2007,PANASONIC,-122.504371,37.589572,http://farm3.staticflickr.com/2125/2042177538_c2d0a6c366.jpg
36791303@N00,2013,CANON,-122.409484,37.791221,http://farm9.staticflickr.com/8093/8383922335_dfa1eda2b5.jpg
36521956509@N01,2013,NA,-122.419635,37.762715,http://farm9.staticflickr.com/8402/8628979649_59e65045f7.jpg
73522530@N08,2012,CANON,-122.478675,37.820005,http://farm8.staticflickr.com/7093/7280432128_5056278112.jpg
28066001@N03,2008,CANON,-122.260258,37.875285,http://farm4.staticflickr.com/3133/2616950710_f037938811.jpg
23609079@N07,2011,CANON,-122.401667,37.788333,http://farm7.staticflickr.com/6101/6335551996_c6b28501e0.jpg
35034347347@N01,2013,APPLE,-122.408523,37.777038,http://farm4.staticflickr.com/3834/10279441214_81bfdee7a1.jpg
35946983@N00,1969,NA,-122.258042,37.868357,http://farm4.staticflickr.com/3001/2827557438_fb121500a0.jpg
61098690@N00,2008,PENTAX,-122.410976,37.811165,http://farm3.staticflickr.com/2285/2350991569_92985f2a1c.jpg
48600099091@N01,2008,PANASONIC,-122.44131,37.792693,http://farm4.staticflickr.com/3272/2970489973_c3827b0d9f.jpg
55154692@N05,2012,CANON,-122.313741,37.840656,http://farm9.staticflickr.com/8340/8152475434_fb78b8ae15.jpg
84518681@N00,2005,SONY,-122.389696,37.777952,http://farm1.staticflickr.com/9/17483696_4384d4d6b5.jpg
50102171@N00,2011,SAMSUNG,-122.393224,37.790282,http://farm6.staticflickr.com/5040/5899537815_0fb4e18fb1.jpg
61538634@N00,2011,CANON,-122.472517,37.712166,http://farm6.staticflickr.com/5013/5478020337_8e380ae5f2.jpg
82847947@N00,2010,CANON,-122.41883,37.785041,http://farm5.staticflickr.com/4037/4694096953_308989b233.jpg
26216388@N02,2014,CANON,-122.509264,37.77013,http://farm3.staticflickr.com/2826/13360277075_4495603169.jpg
37665378@N00,2012,NA,-122.276119,37.804601,http://farm9.staticflickr.com/8339/8218752192_eb3ece8300.jpg
33328641@N00,2008,CANON,-122.441261,37.778369,http://farm4.staticflickr.com/3004/2727777266_336f277a2e.jpg
44048128@N00,2009,APPLE,-122.406486,37.785963,http://farm4.staticflickr.com/3309/3639888985_f26d2c63b4.jpg
39636626@N00,2010,OLYMPUS,-122.270386,37.808035,http://farm5.staticflickr.com/4149/5044205583_e57c6c7820.jpg
62449696@N00,2008,CANON,-122.431167,37.7655,http://farm4.staticflickr.com/3280/2503862715_bc53bd5033.jpg
51035647214@N01,2010,NIKON,-122.466954,37.767063,http://farm5.staticflickr.com/4028/4398949940_e0018084fb.jpg
32192899@N06,2011,CANON,-122.468681,37.771499,http://farm7.staticflickr.com/6146/5940060700_0b77ba33a7.jpg
